City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,ust-kut,56.7938,105.7672,-12.05,91,100,6.05,RU,1670271451
217,blackfoot,43.1905,-112.345,3.27,87,11,3.73,US,1670271411
218,mitsamiouli,-11.3847,43.2844,26.65,79,13,4.73,KM,1670271452
219,tuktoyaktuk,69.4541,-133.0374,-26.29,78,100,10.08,CA,1670270867
220,pisco,-13.7,-76.2167,21.12,78,20,4.63,PE,1670270876
221,hervey bay,-25.2986,152.8535,21.84,83,1,4.69,AU,1670271453
222,scottsbluff,41.8666,-103.6672,5.62,52,0,4.12,US,1670271454
223,alofi,-19.0595,-169.9187,26.94,89,75,4.12,NU,1670270893
224,basavakalyan,17.8667,76.95,18.25,53,32,3.48,IN,1670271455
225,manono,-7.3,27.4167,19.21,98,100,1.24,CD,1670271455
226,sovetskiy,61.3614,63.5842,-17.2,100,97,1.96,RU,1670271456
227,port lincoln,-34.7333,135.8667,15.02,70,100,5.99,AU,1670270909
228,khandyga,62.6667,135.6,-28.84,99,100,0.65,RU,1670271457
229,tonekabon,36.8163,50.8738,7.97,79,96,1.05,IR,1670271457
230,craig,40.5153,-107.5464,-0.21,93,100,2.06,US,1670271342
231,saint anthony,45.0205,-93.218,-0.61,62,100,5.66,US,1670270851
232,norman wells,65.282,-126.8329,-29.98,76,75,6.17,CA,1670271458
233,fairbanks,64.8378,-147.7164,-9.67,88,75,0.0,US,1670270700
234,lac-au-saumon,48.421,-67.3476,0.58,72,96,6.27,CA,1670271459
235,xining,36.6167,101.7667,-4.1,51,100,1.16,CN,1670270832
236,grand gaube,-20.0064,57.6608,25.22,78,16,4.02,MU,1670271110
237,swellendam,-34.0226,20.4417,16.09,63,100,2.51,ZA,1670271460
238,sibot,45.95,23.3333,5.97,85,98,0.76,RO,1670271461
239,ucluelet,48.9329,-125.5528,4.49,90,100,1.31,CA,1670271461
240,acari,-15.4311,-74.6158,25.11,57,3,4.62,PE,1670271462
241,praia,14.9215,-23.5087,23.3,64,75,4.63,CV,1670270934
242,zemetchino,53.4973,42.6163,-12.14,89,19,1.53,RU,1670271462
243,sarkand,45.41,79.9186,-8.12,95,100,0.25,KZ,1670271032
244,saint-philippe,-21.3585,55.7679,23.77,78,100,5.2,RE,1670271463
245,maumere,-8.6199,122.2111,26.02,80,100,1.68,ID,1670271464
246,sorland,67.667,12.6934,3.92,86,100,18.8,NO,1670271464
247,moa,20.6569,-74.9403,26.13,65,26,6.24,CU,1670271465
248,lisala,2.15,21.5167,20.78,97,100,3.99,CD,1670271465
249,abnub,27.2696,31.1511,16.59,53,0,4.04,EG,1670271466
250,chimbote,-9.0853,-78.5783,21.52,71,10,4.46,PE,1670271045
251,peniche,39.3558,-9.3811,14.05,95,88,2.33,PT,1670271466
252,nalut,30.3333,10.85,18.65,25,31,4.6,LY,1670271068
253,ahipara,-35.1667,173.1667,17.97,76,100,2.44,NZ,1670270934
254,grindavik,63.8424,-22.4338,-1.74,100,20,2.06,IS,1670270938
255,senador jose porfirio,-2.5908,-51.9542,28.12,64,85,1.62,BR,1670271467
256,lavrentiya,65.5833,-171.0,-2.68,90,100,5.39,RU,1670271202
